142,136,574,73,78,301,5,77,31,1,0,0,0,58,335,3,417,2352,2374,1908,0,0,0,0,0,1,0,7,2,1,1,90,380,4,1,0,1,1,1,1,0,0,0,390,35,1,90,0,1,1,1,0,1,1,1,0,0,392,0,0,449,1033,0,8,4,150,1015,30,1,489,165,3,6,181,1,24,89,0,516,0,2,1,2,425,0,0,1,0,1,0,0,89,0,1,0,376,0,1,0,1,0,0,0,1,0,0,92,293,88,0,0,1,0,0,0,0,0,0,0,1,link118
1,264,17,571,77,103,272,29,73,11,2,0,0,0,58,335,3,1458,2364,2370,855,0,0,0,0,0,0,0,7,2,1,0,90,380,4,0,0,0,1,1,1,0,0,0,424,0,67,24,0,1,1,1,0,1,1,1,0,0,392,0,1,688,517,0,8,11,0,2,0,2,1165,645,0,1,1,1,3,88,32,1,1,6,0,425,29,0,232,518,14,205,2,1,89,0,1,0,376,0,1,0,1,0,0,0,1,0,1,92,380,0,1,0,0,0,0,1,0,0,1,0,link118
92,384,318,150,83,277,9,80,37,4,3,0,0,58,335,2,136,2204,2367,2322,24,0,0,0,0,0,0,1,8,0,0,90,380,4,1,0,0,1,1,0,0,0,0,0,424,0,90,1,1,1,1,0,1,1,1,0,0,392,0,0,100,812,303,11,0,6,1277,110,0,5,441,261,24,181,517,0,89,30,2,1,0,0,0,425,0,0,0,0,1,0,0,89,0,1,0,376,0,1,0,1,0,0,0,1,1,0,92,0,380,1,1,0,0,0,0,0,0,0,1,1,link118
78,377,291,186,108,265,6,70,50,5,0,0,2,58,335,2,214,2212,2360,2266,0,0,0,0,0,0,0,7,2,0,0,90,380,4,1,0,0,1,1,0,0,0,1,0,425,0,90,1,1,1,1,1,1,1,1,0,0,392,0,0,13,1201,1,8,2,1021,366,0,2,0,425,0,32,1,3,1,101,1,0,24,0,181,0,431,518,232,30,2,1,0,0,89,0,1,0,228,149,1,0,1,0,0,1,0,0,1,92,0,380,0,0,0,1,1,0,0,0,0,1,0,link118
76,205,214,394,73,100,235,50,57,3,0,0,0,40,1,335,0,3,690,2363,2372,1627,0,49,39,0,0,0,8,0,0,0,1,380,4,1,0,1,1,0,0,90,1,1,247,178,1,0,0,1,1,1,1,1,0,1,91,314,79,1,51,1343,1,949,168,6,12,32,14,1,426,89,3,230,3,1,29,24,286,231,181,1,2,425,2,0,0,88,1,0,0,0,1,0,1,0,376,0,1,0,1,92,0,1,1,0,0,0,380,0,0,0,1,0,1,0,0,0,1,87,link118
52,228,380,267,55,184,21,73,42,5,4,0,0,307,0,2,1142,2268,2263,1377,0,0,0,0,0,0,0,7,2,393,0,90,1,4,1,1,0,1,411,0,0,0,0,0,0,1,90,0,1,1,1,421,1,1,1,1,0,0,0,0,11,1390,103,1110,11,396,2,32,24,1,14,29,230,1,181,0,604,1,367,1,2,0,0,1,0,0,0,1,381,0,0,89,0,1,0,1,0,1,0,1,377,0,0,1,0,0,92,1,0,1,0,0,0,388,0,0,0,1,0,1,link118
2,265,36,563,96,47,282,8,72,49,5,3,0,0,38,335,38,2155,2360,2371,128,0,0,0,88,0,0,0,0,8,0,0,0,380,4,1,0,0,1,1,0,0,90,0,0,424,0,1,0,1,1,1,1,1,1,1,0,483,0,1,2,446,954,21,1099,34,197,517,32,2,2,430,112,229,2,1,0,0,0,1,0,0,1,0,425,0,0,88,0,1,0,0,1,0,1,0,1,376,1,0,1,0,92,0,1,0,1,0,0,380,1,0,0,0,0,0,0,0,0,1,link118
8,290,192,477,29,84,130,55,57,10,3,0,0,306,0,2,165,2146,2362,2372,7,0,0,3,0,1,0,0,0,0,202,8,164,2,2,0,296,1,1,1,0,0,0,1,0,452,0,1,0,1,1,1,1,1,0,0,0,508,0,1,2,1391,17,1117,1,14,2,229,516,407,24,91,2,2,1,1,0,3,1,3,32,1,438,1,181,0,2,88,0,0,0,1,1,0,1,0,428,0,1,0,0,88,0,1,1,0,1,0,0,381,1,0,0,0,0,1,0,92,0,0,link118
16,279,173,426,93,93,117,47,64,15,4,0,0,0,326,2,58,1517,2354,2371,750,0,0,0,202,164,0,0,8,1,0,0,301,1,4,1,1,1,1,1,387,61,0,1,0,0,1,0,1,0,1,508,0,1,1,0,1,0,0,1,3,357,1051,1,1516,1,6,92,0,232,36,451,82,181,30,24,2,1,410,1,0,88,0,0,1,0,0,0,1,0,0,427,0,1,0,1,27,62,1,0,1,0,0,382,1,0,1,0,0,0,0,0,92,0,0,391,0,0,0,0,link118
171,286,410,86,313,41,71,46,6,3,0,0,0,58,335,4,11,1514,2251,2365,910,0,0,0,0,0,0,8,0,0,90,380,1,4,0,0,1,1,0,0,0,0,0,424,0,90,1,0,1,1,1,1,1,0,0,0,243,150,0,0,268,1126,90,8,724,398,53,230,4,456,181,24,516,1,2,89,0,0,0,1,0,0,203,222,0,0,0,0,0,0,89,1,0,1,152,225,0,1,0,0,0,0,1,1,0,0,92,380,0,0,0,0,1,0,0,0,0,0,1,0,link118
